CASEID,SNRLGSVC,SNRLGIMP,SNRLDCSN,SNRLFRND
126,0,Agree,Agree,Agree
127,6-24,Strongly Agree,Strongly Agree,Agree
128,99,99,99,99
129,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
130,1-2,Agree,Disagree,Disagree
131,99,99,99,99
132,1-2,Agree,Agree,Agree
133,3-5,Disagree,Disagree,Strongly Disagree
134,0,Agree,Disagree,Disagree
135,6-24,Strongly Disagree,Strongly Disagree,Strongly Disagree
136,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
137,52+,Strongly Agree,Strongly Agree,Disagree
138,3-5,Agree,Agree,Agree
139,99,99,99,99
140,6-24,Agree,Strongly Agree,Agree
141,0,Agree,Disagree,Disagree
142,99,99,99,99
143,0,Strongly Agree,Agree,Disagree
144,0,Agree,Agree,Agree
145,1-2,Disagree,Disagree,Disagree
146,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
147,1-2,Agree,Agree,Strongly Disagree
148,0,Agree,Disagree,Agree
149,3-5,Disagree,Disagree,99
150,6-24,Agree,Agree,Disagree
151,0,Agree,Strongly Agree,Agree
152,99,Strongly Agree,Strongly Agree,Disagree
153,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
154,1-2,Strongly Agree,Strongly Agree,Strongly Disagree
155,6-24,Strongly Disagree,Agree,Disagree
156,99,99,99,99
157,6-24,Agree,Agree,Disagree
158,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
159,0,Agree,Agree,Agree
160,25-52,Agree,Agree,Disagree
161,0,Disagree,Disagree,Disagree
162,3-5,Strongly Agree,Agree,Strongly Disagree
163,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
164,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
165,6-24,Disagree,Disagree,Disagree
166,6-24,Strongly Agree,Agree,Disagree
167,25-52,Agree,Agree,Agree
168,99,99,99,99
169,99,99,99,99
170,0,Agree,Disagree,Strongly Disagree
171,52+,Agree,Agree,Agree
172,0,Strongly Agree,Strongly Agree,Strongly Disagree
173,3-5,Disagree,Disagree,Disagree
174,99,99,99,99
175,6-24,Strongly Agree,Strongly Agree,Strongly Agree
176,25-52,Strongly Agree,Strongly Agree,Agree
177,6-24,Strongly Agree,Strongly Agree,Disagree
178,3-5,Agree,Strongly Agree,Strongly Disagree
179,99,99,99,99
180,6-24,Strongly Disagree,Disagree,Agree
181,1-2,Strongly Disagree,Strongly Disagree,Strongly Disagree
182,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
183,6-24,Disagree,Disagree,Strongly Disagree
184,25-52,Strongly Agree,Strongly Agree,Agree
185,3-5,Agree,Agree,Disagree
186,99,99,99,99
187,3-5,Strongly Agree,Agree,Disagree
188,0,Disagree,Disagree,Strongly Disagree
189,6-24,Strongly Agree,Strongly Agree,Agree
190,6-24,Strongly Disagree,Strongly Disagree,Strongly Disagree
191,52+,Strongly Agree,Strongly Agree,Agree
192,99,99,99,99
193,25-52,Strongly Disagree,Agree,Disagree
194,52+,Strongly Disagree,Strongly Disagree,Disagree
195,1-2,Agree,Strongly Agree,Strongly Disagree
196,99,99,99,99
197,99,99,99,99
198,99,99,99,99
199,0,Agree,Agree,Disagree
200,0,Disagree,Agree,Strongly Disagree
201,6-24,Strongly Agree,Strongly Agree,Strongly Agree
202,3-5,Agree,Agree,Strongly Disagree
203,25-52,Strongly Agree,Strongly Agree,Disagree
204,52+,Strongly Agree,Strongly Agree,Strongly Agree
205,6-24,Strongly Agree,Strongly Agree,Strongly Agree
206,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
207,0,Agree,Disagree,Strongly Disagree
208,6-24,Agree,Agree,Agree
209,25-52,Strongly Agree,Strongly Agree,Agree
210,99,99,99,99
211,99,99,99,99
212,99,99,99,99
213,52+,Strongly Agree,Strongly Agree,Strongly Agree
214,99,99,99,99
215,0,Agree,Disagree,Disagree
216,6-24,Agree,Agree,Strongly Disagree
217,1-2,Disagree,Agree,Disagree
218,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
219,3-5,Agree,Disagree,Disagree
220,1-2,Agree,Agree,Disagree
221,0,Strongly Disagree,Agree,Disagree
222,99,99,99,99
223,52+,Strongly Disagree,Strongly Disagree,Strongly Disagree
224,52+,Strongly Agree,Strongly Agree,Disagree
225,0,Disagree,Disagree,Disagree
226,0,Agree,Agree,Agree
227,99,99,99,99
228,99,99,99,99
229,99,99,99,99
230,0,Agree,Agree,Agree
231,25-52,Strongly Agree,Strongly Agree,Agree
232,99,99,99,99
233,52+,Strongly Agree,Strongly Agree,Agree
234,99,99,99,99
235,6-24,Strongly Agree,Strongly Agree,Disagree
236,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
237,99,99,99,99
238,0,Disagree,Strongly Disagree,Strongly Disagree
239,0,Strongly Agree,Strongly Agree,Agree
240,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
241,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
242,6-24,Strongly Agree,Strongly Agree,Disagree
243,6-24,Agree,Agree,Disagree
244,99,99,99,99
245,99,99,99,99
246,99,99,99,99
247,99,99,99,99
248,52+,Strongly Agree,Strongly Agree,Agree
249,0,Agree,Agree,Strongly Disagree
250,6-24,Agree,Agree,Strongly Disagree
251,99,99,99,99
252,0,Agree,Disagree,Disagree
253,25-52,Strongly Agree,Agree,Disagree
254,99,99,99,99
255,99,99,99,99
256,99,99,99,99
257,99,99,99,99
258,25-52,Strongly Agree,Strongly Agree,Disagree
259,99,99,99,99
260,0,99,99,Strongly Disagree
261,1-2,Strongly Agree,Agree,Disagree
262,52+,Strongly Agree,Strongly Agree,Agree
263,1-2,Agree,Agree,Disagree
264,25-52,Strongly Agree,Strongly Agree,Agree
265,0,Agree,Agree,Strongly Disagree
266,99,99,99,99
267,6-24,Agree,Agree,Agree
268,0,Strongly Agree,Strongly Agree,Strongly Disagree
269,6-24,Strongly Agree,Strongly Agree,Disagree
270,0,Agree,Agree,Disagree
271,99,99,99,99
272,1-2,Disagree,Disagree,Disagree
273,99,99,99,99
274,3-5,Disagree,Disagree,Strongly Disagree
275,52+,Strongly Agree,Strongly Agree,Agree
276,99,99,99,99
277,6-24,Strongly Agree,Strongly Agree,Disagree
278,99,99,99,99
279,0,Agree,Disagree,Strongly Disagree
280,99,99,99,99
281,3-5,Disagree,Agree,Strongly Disagree
282,0,Strongly Agree,Agree,Strongly Disagree
283,99,99,99,99
284,1-2,Agree,Agree,Agree
285,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
286,99,99,99,99
287,99,99,99,99
288,99,99,99,99
289,99,99,99,99
290,99,99,99,99
291,99,99,99,99
292,0,Strongly Agree,Strongly Disagree,99
293,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
294,52+,Strongly Agree,Strongly Agree,Strongly Agree
295,0,Disagree,Disagree,Disagree
296,0,Agree,Agree,Disagree
297,99,99,99,99
298,0,Agree,Agree,Disagree
299,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
300,0,Strongly Agree,Strongly Disagree,Strongly Disagree
301,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
302,99,99,99,99
303,99,99,99,99
304,3-5,Strongly Agree,Disagree,Disagree
305,0,Disagree,Disagree,Strongly Disagree
306,99,99,99,99
307,99,99,99,99
308,0,Agree,Agree,Strongly Disagree
309,0,Disagree,Agree,Strongly Disagree
310,6-24,Agree,Agree,Agree
311,52+,Strongly Agree,Strongly Agree,Strongly Agree
312,3-5,Strongly Agree,Agree,Disagree
313,6-24,Agree,Agree,Disagree
314,0,Agree,Strongly Agree,Strongly Agree
315,3-5,Disagree,Disagree,Strongly Disagree
316,99,99,99,99
317,99,Agree,Agree,Disagree
318,52+,Strongly Agree,Agree,Disagree
319,1-2,Disagree,Disagree,Disagree
320,25-52,Agree,Agree,Disagree
321,6-24,Strongly Disagree,Agree,Strongly Disagree
322,0,Disagree,Disagree,Disagree
323,25-52,Strongly Agree,Strongly Agree,Strongly Agree
324,3-5,Strongly Agree,Strongly Agree,Disagree
325,52+,Strongly Agree,Strongly Agree,Agree
326,99,99,99,99
327,0,Agree,Agree,Agree
328,99,99,99,99
329,0,Disagree,Agree,Disagree
330,0,Disagree,Strongly Disagree,Strongly Disagree
331,0,Agree,Agree,Strongly Disagree
332,25-52,Strongly Agree,Strongly Agree,Agree
333,25-52,Strongly Disagree,Strongly Disagree,Strongly Disagree
334,52+,Strongly Agree,Agree,Disagree
335,99,99,99,99
336,52+,Strongly Agree,Strongly Agree,Strongly Disagree
337,99,99,99,99
338,3-5,Strongly Agree,Agree,Disagree
339,0,Agree,Disagree,Disagree
340,3-5,Agree,Disagree,Disagree
341,99,99,99,99
342,0,Agree,Agree,Disagree
343,0,Disagree,Strongly Disagree,Strongly Disagree
344,99,99,99,99
345,25-52,Strongly Agree,Strongly Agree,Agree
346,6-24,Strongly Agree,Agree,Disagree
347,99,99,99,99
348,1-2,Agree,Agree,Disagree
349,0,Agree,Agree,Disagree
350,99,99,99,99
351,0,Disagree,Disagree,Strongly Disagree
352,0,Agree,Agree,Disagree
353,99,99,99,99
354,0,Disagree,Disagree,Disagree
355,99,99,99,99
356,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
357,25-52,Strongly Agree,Strongly Agree,Strongly Disagree
358,25-52,Strongly Agree,Strongly Agree,Strongly Agree
359,99,99,99,99
360,0,Agree,Disagree,Disagree
361,99,99,99,99
362,6-24,Disagree,Disagree,Strongly Disagree
363,3-5,Strongly Disagree,Strongly Disagree,Strongly Disagree
364,99,99,99,99
365,99,99,99,99
366,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
367,0,Agree,Disagree,Disagree
368,0,Disagree,Disagree,Disagree
369,6-24,Strongly Agree,Strongly Agree,Agree
370,99,99,99,99
371,99,99,99,99
372,1-2,Agree,Disagree,Strongly Disagree
373,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
374,0,Agree,Agree,Disagree
375,99,99,99,99
376,6-24,Strongly Agree,Agree,Disagree
377,1-2,Disagree,Disagree,Disagree
378,25-52,Strongly Agree,Strongly Agree,Agree
379,99,99,99,99
380,99,99,99,99
381,99,99,99,99
382,0,Strongly Agree,Agree,Strongly Disagree
383,25-52,Strongly Agree,Strongly Agree,Disagree
384,99,99,99,99
385,99,99,99,99
386,0,Disagree,Disagree,Disagree
387,99,99,99,99
388,99,99,99,99
389,99,99,99,99
390,52+,Strongly Agree,Strongly Agree,Strongly Agree
391,0,Disagree,Disagree,Strongly Disagree
392,0,Disagree,Disagree,Strongly Disagree
393,99,99,99,99
394,52+,Strongly Agree,Agree,Agree
395,0,Agree,Disagree,Strongly Disagree
396,0,Agree,Disagree,Disagree
397,52+,Strongly Agree,Strongly Agree,Disagree
398,1-2,Strongly Agree,Disagree,Strongly Disagree
399,25-52,Strongly Agree,Strongly Agree,Strongly Agree
400,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
401,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
402,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
403,0,Agree,Agree,Agree
404,99,99,99,99
405,0,Disagree,Strongly Disagree,Strongly Disagree
406,3-5,Strongly Agree,Strongly Agree,Disagree
407,1-2,Agree,Disagree,Disagree
408,3-5,Strongly Agree,Agree,Disagree
409,99,99,99,99
410,52+,Strongly Agree,Strongly Agree,Agree
411,99,99,99,99
412,25-52,Strongly Agree,Agree,Disagree
413,0,Agree,Agree,Strongly Agree
414,1-2,Agree,Agree,Agree
415,25-52,Strongly Agree,Strongly Agree,Strongly Agree
416,0,Strongly Agree,Strongly Agree,Strongly Disagree
417,52+,Strongly Disagree,Strongly Agree,Agree
418,25-52,Strongly Agree,Strongly Agree,Strongly Agree
419,99,99,99,99
420,25-52,Agree,Agree,Disagree
421,0,Disagree,Disagree,Disagree
422,0,Agree,Agree,Agree
423,25-52,Strongly Agree,Agree,Disagree
424,0,Strongly Agree,Strongly Disagree,Disagree
425,0,Strongly Agree,Strongly Agree,Disagree
426,6-24,Agree,Disagree,Disagree
427,6-24,Strongly Agree,Strongly Agree,Agree
428,0,Agree,Disagree,Strongly Disagree
429,52+,Strongly Agree,Strongly Agree,Agree
430,3-5,Strongly Agree,Strongly Agree,Strongly Disagree
431,0,Agree,Agree,Disagree
432,99,99,99,99
433,0,Disagree,Disagree,Disagree
434,25-52,Strongly Agree,Strongly Agree,Disagree
435,0,Agree,Disagree,Strongly Disagree
436,99,99,99,99
437,99,99,99,99
438,99,99,99,99
439,6-24,Disagree,Agree,Disagree
440,0,Agree,Disagree,Disagree
441,0,Strongly Agree,Disagree,Disagree
442,3-5,Disagree,Disagree,Strongly Disagree
443,99,99,99,99
444,3-5,Agree,Agree,Strongly Disagree
445,99,99,99,99
446,0,Agree,Disagree,Disagree
447,52+,Strongly Agree,Strongly Agree,Agree
448,0,Agree,Agree,Agree
449,0,Agree,Agree,Strongly Disagree
450,6-24,Agree,Agree,Agree
451,6-24,Agree,Agree,Disagree
452,6-24,Disagree,Disagree,Strongly Disagree
453,99,99,99,99
454,1-2,Agree,Disagree,Agree
455,99,99,99,99
456,52+,Strongly Disagree,Strongly Agree,Disagree
457,25-52,Agree,Agree,Agree
458,0,Agree,Agree,Strongly Disagree
459,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
460,3-5,Strongly Agree,Agree,Disagree
461,25-52,Strongly Agree,Strongly Agree,Agree
462,52+,Strongly Disagree,Strongly Disagree,Agree
463,0,Disagree,Disagree,Disagree
464,1-2,Strongly Agree,Agree,Disagree
465,25-52,Strongly Agree,Strongly Agree,Disagree
466,6-24,Agree,Strongly Agree,Disagree
467,99,99,99,99
468,99,99,99,99
469,99,99,99,99
470,99,99,99,99
471,99,99,99,99
472,6-24,Agree,Agree,Strongly Disagree
473,0,Agree,Agree,Disagree
474,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
475,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
476,1-2,Disagree,Disagree,Disagree
477,52+,Strongly Agree,Strongly Agree,Agree
478,0,Agree,Disagree,Disagree
479,3-5,Strongly Agree,Agree,Strongly Disagree
480,52+,Strongly Agree,Strongly Agree,Agree
481,99,99,99,99
482,99,99,99,99
483,52+,Strongly Agree,Strongly Agree,Disagree
484,25-52,Strongly Agree,Strongly Agree,Disagree
485,99,99,99,99
486,0,Strongly Disagree,Agree,Disagree
487,99,99,99,99
488,6-24,Agree,Disagree,Agree
489,52+,Strongly Agree,Strongly Agree,Agree
490,3-5,Strongly Agree,Strongly Agree,Disagree
491,0,Strongly Agree,Strongly Agree,Disagree
492,0,Agree,Agree,Disagree
493,25-52,Strongly Agree,Strongly Agree,Disagree
494,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
495,52+,Strongly Agree,Strongly Agree,Strongly Agree
496,99,99,99,99
497,99,99,99,99
498,99,99,99,99
499,0,Strongly Agree,Strongly Disagree,Strongly Disagree
500,0,Disagree,Disagree,Strongly Disagree
501,0,Disagree,Disagree,Strongly Disagree
502,25-52,Strongly Agree,Agree,Agree
503,6-24,Strongly Agree,Strongly Agree,Strongly Disagree
504,52+,Strongly Agree,Strongly Agree,Disagree
505,52+,Strongly Disagree,Strongly Disagree,Agree
506,0,Agree,Strongly Disagree,Strongly Disagree
507,99,99,99,99
508,52+,Strongly Agree,Strongly Agree,Strongly Agree
509,99,99,99,99
510,99,99,99,99
511,25-52,Strongly Agree,Strongly Agree,Strongly Agree
512,3-5,Agree,Agree,Agree
513,99,99,99,99
514,99,99,99,99
515,6-24,Strongly Agree,Strongly Agree,Strongly Disagree
516,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
517,1-2,Agree,Agree,Disagree
518,52+,Strongly Agree,Strongly Agree,Agree
519,1-2,Agree,Agree,Agree
520,99,99,99,99
521,0,Strongly Agree,Agree,Disagree
522,99,99,99,99
523,0,Disagree,Disagree,Strongly Disagree
524,6-24,Strongly Agree,Strongly Agree,Agree
525,99,99,99,99
526,25-52,Strongly Agree,Strongly Agree,Disagree
527,25-52,Strongly Agree,Strongly Agree,Strongly Agree
528,3-5,Agree,Agree,Agree
529,52+,Strongly Agree,Strongly Agree,Disagree
530,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
531,1-2,Strongly Disagree,Agree,Strongly Disagree
532,1-2,Strongly Agree,Strongly Agree,Agree
533,99,99,99,99
534,99,99,99,99
535,6-24,Agree,Agree,Disagree
536,0,Strongly Agree,Strongly Agree,Disagree
537,1-2,Agree,Agree,Disagree
538,1-2,Strongly Agree,Agree,Disagree
539,99,99,99,99
540,25-52,Agree,Agree,Agree
541,0,Strongly Agree,Agree,Agree
542,52+,Strongly Agree,Agree,Disagree
543,6-24,Strongly Agree,Strongly Agree,Strongly Agree
544,99,99,99,99
545,99,99,99,99
546,3-5,Strongly Agree,Agree,Strongly Disagree
547,6-24,Agree,Agree,Strongly Disagree
548,99,99,99,99
549,6-24,Disagree,Strongly Disagree,Strongly Disagree
550,52+,Strongly Agree,Strongly Agree,Disagree
551,0,Strongly Disagree,Strongly Disagree,Disagree
552,99,99,99,99
553,99,99,99,99
554,99,99,99,99
555,0,Disagree,Disagree,Disagree
556,3-5,Agree,Agree,Strongly Disagree
557,6-24,Strongly Agree,Agree,Disagree
558,3-5,Disagree,Disagree,Strongly Disagree
559,99,99,99,99
560,6-24,Strongly Agree,Strongly Agree,Agree
561,99,99,99,99
562,99,99,99,99
563,52+,Strongly Agree,Strongly Agree,Strongly Agree
564,0,Agree,Agree,Agree
565,25-52,Strongly Agree,Strongly Agree,Agree
566,25-52,Strongly Agree,Agree,Disagree
567,99,99,99,99
568,99,99,99,99
569,0,Agree,Agree,Disagree
570,3-5,Agree,Agree,Disagree
571,6-24,Strongly Agree,Strongly Agree,Agree
572,3-5,Agree,Agree,Disagree
573,99,99,99,99
574,99,99,99,99
575,99,99,99,99
576,52+,Strongly Disagree,Strongly Agree,Disagree
577,0,Agree,Agree,Disagree
578,52+,Strongly Agree,Strongly Agree,Agree
579,6-24,Strongly Agree,Strongly Agree,Disagree
580,99,99,99,99
581,0,Strongly Agree,Strongly Agree,Strongly Agree
582,25-52,Agree,Agree,Agree
583,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
584,6-24,Agree,Agree,Agree
585,52+,Agree,Agree,Agree
586,0,Agree,Agree,Agree
587,99,99,99,99
588,52+,Strongly Agree,Agree,Disagree
589,1-2,Agree,Agree,Agree
590,1-2,Strongly Agree,Strongly Agree,Agree
591,52+,Agree,Strongly Agree,Disagree
592,1-2,Agree,Disagree,Strongly Disagree
593,99,99,99,99
594,6-24,Strongly Agree,Strongly Agree,Agree
595,99,99,99,99
596,99,99,99,99
597,1-2,Agree,Agree,Disagree
598,25-52,Strongly Agree,Disagree,Disagree
599,6-24,Strongly Agree,Strongly Agree,Strongly Agree
600,25-52,Agree,Agree,Disagree
601,1-2,Agree,Agree,Strongly Disagree
602,99,99,99,99
603,0,Agree,Disagree,Disagree
604,0,Agree,Agree,Strongly Disagree
605,0,Agree,Agree,Disagree
606,0,Strongly Agree,Strongly Agree,Strongly Agree
607,25-52,Strongly Agree,Strongly Agree,Strongly Agree
608,0,99,Strongly Disagree,Agree
609,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
610,52+,Strongly Agree,Strongly Agree,Agree
611,1-2,Strongly Disagree,Strongly Disagree,Strongly Disagree
612,99,99,99,99
613,0,Strongly Agree,Strongly Agree,Strongly Agree
614,0,Strongly Agree,Strongly Agree,Agree
615,99,99,99,99
616,99,99,99,99
617,99,99,99,99
618,99,99,99,99
619,25-52,Strongly Agree,Strongly Agree,Agree
620,3-5,Agree,Agree,Agree
621,25-52,Agree,Agree,Disagree
622,25-52,Disagree,Strongly Disagree,Disagree
623,0,Disagree,Disagree,Strongly Disagree
624,6-24,Strongly Disagree,Agree,Agree
625,3-5,Strongly Agree,Strongly Agree,Strongly Disagree
626,3-5,Agree,Agree,Disagree
627,0,Agree,Agree,Strongly Disagree
628,52+,Agree,Agree,Agree
629,0,Agree,Agree,Disagree
630,1-2,Strongly Agree,Agree,Disagree
631,52+,Strongly Agree,Strongly Agree,Disagree
632,0,Agree,Agree,Strongly Disagree
633,6-24,Strongly Agree,Strongly Agree,Disagree
634,6-24,Strongly Agree,Strongly Agree,Disagree
635,99,99,99,99
636,99,99,99,99
637,1-2,Strongly Agree,Strongly Agree,Strongly Agree
638,99,99,99,99
639,99,99,99,99
640,25-52,Strongly Agree,Strongly Agree,Strongly Agree
641,3-5,Agree,Agree,Disagree
642,25-52,Strongly Agree,Strongly Agree,Agree
643,52+,Strongly Agree,Strongly Agree,Strongly Agree
644,1-2,Strongly Agree,Agree,99
645,52+,Strongly Agree,Strongly Agree,Disagree
646,25-52,Agree,Agree,Disagree
647,99,99,99,99
648,0,Disagree,Strongly Disagree,Strongly Disagree
649,0,Agree,Agree,Disagree
650,1-2,Agree,Strongly Disagree,Strongly Disagree
651,99,99,99,99
652,6-24,Strongly Agree,Agree,Strongly Disagree
653,25-52,Agree,Disagree,Disagree
654,99,99,99,99
655,99,99,99,99
656,52+,Strongly Agree,Strongly Agree,Strongly Agree
657,0,Strongly Agree,Disagree,Disagree
658,3-5,Agree,Agree,99
659,1-2,Disagree,Disagree,Disagree
660,1-2,Disagree,Disagree,Disagree
661,99,99,99,99
662,99,99,99,99
663,0,Agree,Disagree,Strongly Disagree
664,0,Disagree,Agree,Disagree
665,99,99,99,99
666,1-2,Agree,Disagree,Strongly Disagree
667,0,Disagree,Strongly Disagree,Strongly Disagree
668,99,99,99,99
669,0,Agree,Agree,Disagree
670,99,99,99,99
671,99,99,99,99
672,6-24,Strongly Agree,Agree,Agree
673,3-5,Strongly Agree,Strongly Agree,Agree
674,25-52,Agree,Agree,Disagree
675,25-52,Strongly Agree,Strongly Agree,Agree
676,99,99,99,99
677,99,99,99,99
678,0,Agree,Agree,Strongly Disagree
679,3-5,Disagree,Disagree,Strongly Disagree
680,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
681,25-52,Strongly Agree,Strongly Agree,Agree
682,99,99,99,99
683,25-52,Strongly Agree,Strongly Agree,Disagree
684,1-2,Strongly Agree,Strongly Agree,Strongly Agree
685,99,99,99,99
686,0,Disagree,Disagree,Disagree
687,0,Agree,Agree,Agree
688,1-2,Disagree,Agree,Disagree
689,52+,Agree,Agree,Disagree
690,99,99,99,99
691,99,99,99,99
692,1-2,Strongly Agree,Strongly Agree,Disagree
693,6-24,Agree,Strongly Disagree,Strongly Disagree
694,0,Agree,Agree,Strongly Disagree
695,99,99,99,99
696,0,Agree,Agree,Strongly Disagree
697,52+,Strongly Agree,Agree,Disagree
698,1-2,Disagree,Disagree,Disagree
699,3-5,Disagree,Agree,Strongly Disagree
700,25-52,Agree,Agree,Disagree
